date,month,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,purchase_per_view_rate,avg_purchase_price
2019-10-01,2019-10,142414,61209,46916,25813,8476,43497.17,0.13847636785440048,5.131803916941953
2019-10-02,2019-10,201068,76497,89124,26347,9100,45746.2,0.11895891342144137,5.027054945054945
2019-10-03,2019-10,124847,56934,35745,23303,8865,43380.98,0.15570660765096428,4.893511562323745
2019-10-04,2019-10,115612,53674,31347,23029,7562,35887.15,0.14088758057905132,4.745722031208675
2019-10-05,2019-10,106343,49411,31201,19791,5940,29228.55,0.12021614620226266,4.920631313131313
2019-10-06,2019-10,187383,72916,81376,25826,7265,33167.8,0.09963519666465522,4.565423262216105
2019-10-07,2019-10,181451,75899,66954,29222,9376,46837.58,0.12353258936217869,4.995475682593857
2019-10-08,2019-10,148944,64948,47364,28028,8604,43015.61,0.13247521093798115,4.999489772198977
2019-10-09,2019-10,139901,65433,37991,28013,8464,44051.02,0.12935369003408068,5.204515595463137
2019-10-10,2019-10,132634,60949,36620,26948,8117,42017.69,0.1331769184071929,5.176504866329926
2019-10-11,2019-10,119195,57104,31451,23718,6922,36024.56,0.12121742785093864,5.204357122219012
2019-10-12,2019-10,111166,52637,30480,21618,6431,32269.39,0.12217641582916959,5.017787280360753
2019-10-13,2019-10,116755,53938,33367,22362,7088,35686.3,0.1314101375653528,5.0347488713318285
2019-10-14,2019-10,133258,62188,37722,25344,8004,40785.22,0.12870650286228855,5.095604697651175
2019-10-15,2019-10,130030,59861,37521,24349,8299,40471.08,0.13863784433938625,4.87662127967225
2019-10-16,2019-10,136043,63004,38408,25535,9096,42755.28,0.1443717859183544,4.700448548812664
2019-10-17,2019-10,133870,61975,37136,25523,9236,45325.16,0.1490278338039532,4.907444781290603
2019-10-18,2019-10,119073,57520,31044,22589,7920,39829.67,0.1376912378303199,5.028998737373737
2019-10-19,2019-10,104300,49687,27626,20923,6064,29598.43,0.12204399541127457,4.881007585751979
2019-10-20,2019-10,114682,52728,31843,23275,6836,34260.94,0.1296464876346533,5.011840257460504
2019-10-21,2019-10,139662,63882,39921,26987,8872,45934.86,0.13888106195798502,5.177509017132552
2019-10-22,2019-10,136370,62447,37443,27837,8643,42496.42,0.13840536775185358,4.9168598866134445
2019-10-23,2019-10,133764,61594,37351,26105,8714,42503.91,0.14147481897587427,4.8776577920587565
2019-10-24,2019-10,129841,59668,35715,25679,8779,43363.3,0.1471307903733995,4.939435015377606
2019-10-25,2019-10,111774,52941,31214,20595,7024,32350.47,0.1326759978088816,4.605704726651481
2019-10-26,2019-10,109133,51364,30590,21884,5295,25359.18,0.10308776575033098,4.789269121813032
2019-10-27,2019-10,127318,57408,36209,25885,7816,37083.45,0.13614827201783725,4.744556038894575
