brand,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,purchase_per_view_rate,avg_purchase_price
(missing),8757117,3972455,2493706,1741263,549693,2560181.18,0.13837614271275572,4.657474590362257
runail,1528908,608857,491818,316825,111408,343433.19,0.18297892608609245,3.0826618375700128
grattol,852591,426257,217364,159428,49542,266295.94,0.11622565729125856,5.375155221831981
irisk,1033852,409737,333316,216993,73806,223903.38,0.1801301810673676,3.033674498008292
uno,250377,121177,67375,44239,17586,190719.46,0.1451265504179836,10.844959626976003
strong,60713,50925,5451,3487,850,151941.8,0.016691212567501227,178.7550588235294
masura,861763,342247,247038,222727,49751,139764.86,0.14536577384169913,2.8092874515085122
jessnail,252996,172238,43233,27864,9661,134775.04,0.056090990373785114,13.950423351619916
ingarden,430958,175637,124240,103670,27411,124606.04,0.1560662047290719,4.545840720878479
estel,360912,206045,86678,48751,19438,121788.76,0.09433861535101555,6.265498508076963
cnd,177662,107510,37978,24488,7686,106327.8,0.07149102409078226,13.833957845433256
italwax,225667,110888,65230,32444,17105,104057.29,0.15425474352499818,6.083442852966968
browxenna,62475,37884,13422,7938,3231,63280.94,0.08528666455495723,19.58555865057258
kapous,324394,196912,72096,39051,16335,62828.44,0.08295583814089542,3.846246709519437
beautix,99456,47460,26468,20807,4721,56999.72,0.0994732406236831,12.073653886888371
lovely,107856,50204,31411,19231,7010,54505.07,0.13963030834196477,7.775330955777461
concept,201312,125202,42893,23687,9530,53656.99,0.07611699493618312,5.630324239244491
cosmoprofi,126462,63828,30925,24736,6973,53542.73,0.10924672557498277,7.678578803958125
max,34233,26517,3997,2827,892,51791.24,0.03363879775238526,58.061928251121074
domix,158344,69756,47257,28373,12958,49907.84,0.18576179826824932,3.851507948757524
staleks,112076,63563,25807,16895,5811,49776.47,0.09142110976511493,8.565904319394253
bluesky,201175,87575,57112,44979,11509,48173.97,0.1314187838995147,4.185765053436441
marathon,33735,29680,2200,1504,351,47677.35,0.011826145552560646,135.83290598290597
yoko,99291,50899,26352,15412,6628,46449.66,0.13021866834318946,7.008095956547979
haruyama,192224,76760,55183,48699,11582,45241.78,0.15088587806149037,3.906214816093939
bpw.style,434813,168656,132954,95260,37943,44636.28,0.22497272554786074,1.1764035526974672
oniq,116305,64550,26562,20436,4757,41813.32,0.07369481022463206,8.789850746268657
pole,199154,81435,57508,48633,11578,41407.26,0.14217474059065513,3.5763741578856454
polarus,34990,26333,4574,3212,871,41028.13,0.03307636805529184,47.10462686567164
lianail,133388,58618,35403,32725,6642,40265.14,0.11330990480739704,6.062201144233664
zinger,124598,59776,35724,20076,9022,37980.21,0.1509301391862955,4.20973287519397
f.o.x,111657,50269,30292,25804,5292,33902.79,0.10527362788199487,6.406422902494331
kinetics,57334,29704,14672,9752,3206,29297.85,0.1079315917048209,9.138443543356207
pnb,92803,47085,23706,17379,4633,27694.38,0.09839651693745353,5.97763436218433
metzger,76394,44468,17484,10180,4262,27661.33,0.0958442025726365,6.490222900046927
severina,76698,26333,26733,14459,9173,26272.81,0.3483461815972354,2.864145862858389
sunuv,27086,22363,2466,1728,529,25557.7,0.023655144658587847,48.31323251417769
nagaraku,108617,37459,44856,18387,7915,24907.51,0.2112976854694466,3.146874289324068
freedecor,237023,95712,70450,53394,17467,22714.03,0.18249540287529253,1.3003967481536611
milv,166970,66269,50832,37178,12691,22474.08,0.19150734129079963,1.7708675439287687
smart,42253,15726,14479,8229,3819,22327.37,0.24284624189240747,5.846391725582613
airnails,82224,27354,27725,19641,7504,21761.74,0.27432916575272354,2.9000186567164183
thuya,17599,11394,3465,1930,810,21720.66,0.07109004739336493,26.81562962962963
emil,24451,19177,3100,1452,722,21521.89,0.03764926735151484,29.80871191135734
uskusi,100778,39818,29160,26092,5708,21040.17,0.14335225275001257,3.6860844428871755
kaaral,44428,26932,10212,5169,2115,20027.39,0.07853111540175256,9.46921513002364
roubloff,72114,35793,18083,13594,4644,18809.73,0.1297460397284385,4.050329457364341
shik,48556,34857,8001,4203,1495,17963.39,0.042889520039016554,12.015645484949832
matrix,26129,15601,5763,3628,1137,17157.24,0.0728799435933594,15.089920844327178
jas,27025,20981,3327,1804,913,16359.98,0.04351556169867976,17.918926615553122
artex,26015,13237,6550,4534,1694,15946.37,0.12797461660497092,9.413441558441558
rosi,44418,19865,12573,8797,3183,15652.75,0.1602315630505915,4.917609173735469
levrana,44118,23210,11335,6962,2611,15344.95,0.11249461439034898,5.87703944848717
benovy,21543,7873,6992,4498,2180,14683.04,0.27689571954782166,6.735339449541285
refectocil,21077,8728,6500,4058,1791,13217.43,0.20520164986251146,7.3799162479061975
depilflax,28474,13273,8758,4344,2099,12911.94,0.15814058615233934,6.1514721295855175
art-visage,65540,29158,21278,10851,4253,12092.12,0.14586048425817957,2.8431977427698096
swarovski,44102,12909,15163,11999,4031,11474.24,0.31226276241381984,2.8464996278838997
solomeya,50733,28779,12797,6749,2408,11204.39,0.08367212203342715,4.652985880398671
levissime,21538,8807,6919,3578,2234,10975.61,0.25366185988418305,4.9129856759176365
nitrimax,26012,12860,7764,3704,1684,10645.63,0.13094867807153965,6.321633016627078
dewal,31354,18336,7361,3989,1668,10102.41,0.09096858638743456,6.05660071942446
markell,36630,16561,10234,7248,2587,9982.47,0.1562103737696999,3.8587050637804405
kaypro,16926,10782,4048,1614,482,8755.43,0.04470413652383602,18.164792531120334
missha,23783,18022,3543,1550,668,8305.68,0.03706580845633115,12.433652694610778
farmona,7903,5262,1430,861,350,8107.63,0.06651463321930824,23.164657142857145
de.lux,80560,29709,24938,18841,7072,8033.2,0.23804234407082028,1.1359162895927601
insight,15270,10521,2833,1304,612,8008.5,0.058169375534645,13.08578431372549
coifin,6774,6005,474,172,123,7131.0,0.02048293089092423,57.97560975609756
lador,33724,23008,6698,2931,1087,6970.92,0.04724443671766342,6.412989880404784
bodyton,16283,9646,3536,2381,720,6762.27,0.07464233879328219,9.392041666666668
opi,13519,9301,2455,1220,543,6652.76,0.05838081926674551,12.251860036832413
gehwol,6692,3756,1576,934,426,6479.81,0.1134185303514377,15.210821596244132
limoni,15194,9363,3112,2037,682,6305.83,0.07283990174089501,9.24608504398827
farmstay,37896,12303,14443,7794,3356,6232.27,0.27277899699260344,1.8570530393325388
bioaqua,28434,17695,5873,3875,991,6230.0,0.05600452105114439,6.286579212916246
farmavita,19306,13264,3867,1513,662,5961.69,0.04990952955367913,9.005574018126888
joico,5671,4150,1012,336,173,5871.72,0.04168674698795181,33.94057803468208
sophin,24022,13708,5640,3677,997,5865.53,0.07273125182375255,5.883179538615847
zeitun,12529,7113,3001,1857,558,5412.17,0.0784479122733024,9.699229390681003
ardell,46983,39339,4551,2252,841,5361.01,0.02137827601108315,6.374565992865636
orly,12364,8397,2305,1195,467,4933.46,0.0556151006311778,10.564154175588865
jaguar,9135,6893,1298,684,260,4857.92,0.03771942550413463,18.684307692307694
shary,19710,7312,7216,3420,1762,4699.57,0.24097374179431072,2.6671793416572074
dizao,25198,8368,9892,4737,2201,4601.74,0.26302581261950286,2.0907496592457973
kosmekka,23798,21692,1065,918,123,4495.0,0.005670293195648165,36.54471544715447
beauty-free,31249,12640,9551,7447,1611,4354.08,0.12745253164556963,2.7027188081936684
happyfons,19973,13919,3199,2113,742,4279.93,0.05330842732954954,5.768099730458221
nitrile,4823,1691,1551,1113,468,4231.83,0.2767593140153755,9.042371794871794
lamixx,7076,4320,1559,739,458,4221.13,0.10601851851851851,9.216441048034934
petitfee,5126,2939,1148,805,234,4138.76,0.0796189179993195,17.68700854700855
provoc,13936,8380,3102,1771,683,4031.99,0.0815035799522673,5.903352855051244
lsanic,6422,3201,1703,1136,382,4011.34,0.11933770696657295,10.500890052356022
ecolab,17353,7900,5072,3334,1047,3922.91,0.13253164556962024,3.7468099331423113
almea,4992,3556,869,421,146,3675.87,0.04105736782902137,25.177191780821918
skinlite,19299,6402,7215,4076,1606,3600.84,0.2508591065292096,2.2421170610211707
batiste,4560,2302,1257,650,351,3446.53,0.1524761077324066,9.81917378917379
sanoto,2000,1870,66,40,24,3406.52,0.012834224598930482,141.93833333333333
keune,6008,4444,993,445,126,3158.47,0.028352835283528353,25.06722222222222
profhenna,7193,3551,2051,1172,419,3028.94,0.1179949310053506,7.228973747016706
