category_key,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,purchase_per_view_rate,avg_purchase_price
category_id:1487580005092295511,770985,394684,190623,140808,44870,418363.33,0.11368588541719452,9.323898595943838
category_id:1487580006300255120,315333,275511,21959,14053,3810,351672.31,0.013828848938880844,92.3024435695538
category_id:1487580005268456287,448775,221225,115327,81773,30450,265312.54,0.13764267148830375,8.713055500821017
category_id:1602943681873052386,640908,326434,161665,116593,36216,186388.51,0.11094432565235239,5.146579136293351
category_id:1487580006317032337,646704,221884,226622,147643,50555,179969.53,0.22784427899262677,3.559875976659084
category_id:1487580008246412266,375219,232184,78973,47491,16571,139934.73,0.07137012024945733,8.444555548850403
appliances.environment.vacuum,149168,113752,19189,12227,4000,138623.97,0.035164216892889795,34.6559925
category_id:1487580013950664926,288450,233004,29398,20151,5897,135893.36,0.025308578393503974,23.044490418857045
category_id:1487580005595612013,789465,307046,231674,206411,44334,134047.48,0.1443887886505605,3.023581901024045
category_id:1487580009051717646,145900,114437,16362,11964,3137,114698.0,0.02741246275243147,36.56295824035703
category_id:1487580005671109489,680648,231046,211642,194508,43452,108903.93,0.188066445642859,2.506304197735432
category_id:1487580007675986893,1062716,423850,319562,239167,80137,102743.07,0.18906924619558807,1.2820927910952495
category_id:1487580005754995573,369213,143691,102761,102312,20449,94976.54,0.14231232297081933,4.644556702039219
category_id:1487580005553668971,149495,70005,42086,27946,9458,93743.77,0.13510463538318693,9.911584901670544
category_id:1487580004916134735,245287,89701,74708,65766,15112,80341.84,0.16847080857515523,5.316426680783483
category_id:1487580005713052531,264521,105525,76024,68856,14116,77462.9,0.13376924899312959,5.487595636157551
category_id:1487580005411062629,108440,64628,23339,16277,4196,70997.9,0.0649254193228941,16.920376549094374
category_id:1487580008263189483,168430,104511,35832,20482,7605,70523.41,0.07276745988460545,9.27329520052597
category_id:1487580005511725929,257267,108127,71094,63940,14106,70111.22,0.13045770251648525,4.97031192400397
category_id:1487580005134238553,397167,135747,120407,115311,25702,68459.2,0.18933751758786566,2.6635748190802273
category_id:1783999063314661546,130655,64658,32776,25554,7667,65047.21,0.11857774753317454,8.4840498239207
category_id:1487580013841613016,398007,257436,84120,41533,14918,62194.62,0.0579483832874967,4.169099074943022
category_id:1487580013069861041,91514,52765,21485,12075,5189,61369.0,0.09834170378091538,11.826748891886684
category_id:1487580013581566154,116225,52622,34134,19553,9916,56316.98,0.18843829576983012,5.679405002016942
category_id:1783999067156644376,91273,42060,26820,15840,6553,55371.37,0.15580123632905374,8.449774149244622
category_id:2151191071378375538,83536,38126,25423,13722,6265,50669.03,0.16432355872632848,8.08763447725459
category_id:1487580013522845895,169917,71315,59460,28477,10665,50444.88,0.14954778097174506,4.729946554149086
category_id:1487580010100293687,198956,62566,74496,43039,18855,49417.2,0.30136176197934983,2.62090692124105
category_id:1487580007852147670,107657,56344,28692,16251,6370,48680.76,0.11305551611529178,7.6421915227629515
category_id:1487580008145748965,277540,123233,80935,53365,20007,46294.69,0.16235099364618244,2.313924626380767
category_id:1783999072332415142,87993,56071,17324,10906,3692,45437.8,0.06584508926182875,12.30709642470206
category_id:1487580011585077370,200444,68220,73347,43650,15227,45107.8,0.22320433890354735,2.96235634071058
category_id:1487580005427839846,249326,74486,83977,74196,16667,43983.25,0.22376016969631876,2.638942221155577
category_id:1487580007910867929,124662,77206,25095,16531,5830,43849.67,0.07551226588607103,7.52138421955403
category_id:1487580012902088873,66848,47600,10375,6211,2662,43314.62,0.05592436974789916,16.27145755071375
category_id:1487580009387261981,105448,45334,30639,19644,9831,42283.26,0.2168571050425729,4.3010131217577054
category_id:1487580007281722301,81487,28712,26976,16307,9492,41605.0,0.33059348007801614,4.383164770332912
category_id:1487580007256556476,116130,43987,39851,22346,9946,41068.25,0.22611226044058472,4.129122260205108
