product_id,brand,category_key,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,purchase_per_view_rate,avg_purchase_price
5560754,strong,category_id:1487580006300255120,17001,13470,1957,1204,370,71726.72,0.02746844840386043,193.856
5809910,grattol,category_id:1602943681873052386,141650,93524,28102,12475,7549,39202.47,0.08071724904837262,5.193067956020665
5751422,uno,category_id:1487580005268456287,43250,21258,11853,6618,3521,38229.81,0.16563176216012795,10.857656915648963
5751383,uno,category_id:1487580005092295511,43117,23527,10580,6062,2948,30138.29,0.125302843541463,10.22330054274084
5850281,marathon,category_id:1487580006300255120,17811,15592,1237,768,214,29283.62,0.013724987172909184,136.83934579439253
5849033,uno,category_id:1487580005092295511,37636,19538,10020,5296,2782,28416.78,0.14238919029583377,10.214514737598849
5792800,,category_id:1487580005268456287,31091,14404,8825,5151,2711,27764.36,0.18821160788669813,10.241372187384728
5877454,jessnail,category_id:1487580006300255120,30293,25409,2707,1562,615,26832.09,0.02420402219685938,43.62941463414634
5560756,strong,category_id:1487580006300255120,8835,7437,778,500,120,24865.44,0.016135538523598225,207.212
89343,,furniture.living_room.cabinet,10333,8787,839,626,81,24149.61,0.009218163195629908,298.1433333333333
5846437,browxenna,category_id:1487580013950664926,17864,14536,1922,872,534,24057.79,0.03673637864611998,45.052041198501875
5856186,runail,category_id:1487580006300255120,23763,20831,1580,1052,300,22343.13,0.014401612980653834,74.47710000000001
5855507,max,appliances.environment.vacuum,8261,6543,873,620,225,17822.25,0.0343878954607978,79.21
5692527,,category_id:1487580014009385185,9091,6727,1328,647,389,17749.65,0.057826668648729006,45.628920308483295
5528035,,category_id:1487580005553668971,24771,12136,6982,3806,1847,17425.44,0.1521918259723138,9.434455874390903
5810480,,category_id:1487580011283087468,6071,2224,2024,1056,767,17164.16,0.3448741007194245,22.37830508474576
5809912,grattol,category_id:1602943681873052386,55606,30365,13390,8544,3307,17125.88,0.10890828256216038,5.178675536740248
5823970,uno,category_id:1487580005092295511,4207,1124,1575,888,620,16590.59,0.5516014234875445,26.759016129032258
5751742,,category_id:1487580005092295511,10878,4970,3053,1810,1045,15009.17,0.21026156941649898,14.362842105263159
5804820,,category_id:1487580013950664926,17713,15911,1038,530,234,14733.72,0.014706806611778015,62.964615384615385
5877453,jessnail,category_id:1487580006300255120,11833,9752,1159,658,264,14283.6,0.027071369975389663,54.10454545454546
5822650,,category_id:1487580005553668971,5438,1809,1993,893,743,14048.81,0.4107241569928137,18.90822341857335
5820270,uno,category_id:1487580005268456287,3684,894,1421,851,518,13846.91,0.5794183445190156,26.731486486486485
5724230,,category_id:1487580005092295511,9381,4076,2900,1650,755,13778.75,0.1852306182531894,18.25
5861760,emil,appliances.environment.vacuum,7586,6337,688,382,179,12757.41,0.028246804481615907,71.2704469273743
5861279,,category_id:1487580006317032337,6705,4203,1346,770,386,11931.82,0.09183916250297407,30.91145077720207
5651975,,category_id:1487580012902088873,12138,7621,2497,1286,734,11834.24,0.09631281983991602,16.122942779291552
5793261,,category_id:1487580010100293687,8247,5393,1558,791,505,11146.92,0.09363990357871314,22.07310891089109
5677043,estel,category_id:1487580008246412266,17734,12578,2894,1429,833,11001.26,0.06622674511051041,13.206794717887155
5882788,thuya,category_id:1487580013522845895,6279,5294,590,268,127,10866.12,0.02398942198715527,85.56
5560758,strong,category_id:1487580006300255120,6577,5724,452,343,58,10844.68,0.01013277428371768,186.97724137931036
