index,user_id,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,first_event_time,last_event_time,cart_to_purchase_flag,cart_abandonment_flag,purchase_rate_per_event,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment
6,100557945,35,0,20,10,5,18.99,2019-11-09 11:30:20+00:00,2020-02-21 08:54:41+00:00,1,0,0.14285714285714285,8.628680555555556,5,18.99,5,2,2,9,New buyers
10,100787781,83,31,26,16,10,43.86,2019-10-02 19:31:02+00:00,2019-11-15 19:33:34+00:00,1,0,0.12048192771084337,106.18501157407407,10,43.86,1,4,4,9,At-risk loyal buyers
11,10079204,4,0,2,0,2,25.810000000000002,2019-11-06 10:40:34+00:00,2019-11-06 10:43:30+00:00,1,0,0.5,115.55311342592593,2,25.810000000000002,1,1,3,5,Inactive buyers
13,101025416,130,77,27,15,11,62.1,2019-11-12 09:23:38+00:00,2020-02-04 07:50:46+00:00,1,0,0.08461538461538462,25.67306712962963,11,62.1,4,4,4,12,Champions
17,101281763,32,21,6,1,4,39.900000000000006,2019-11-30 09:46:23+00:00,2019-11-30 10:48:31+00:00,1,0,0.125,91.54962962962964,4,39.900000000000006,2,2,3,7,Inactive buyers
22,101571486,34,6,14,8,6,40.35,2020-01-21 17:07:24+00:00,2020-02-26 13:50:47+00:00,1,0,0.17647058823529413,3.4230555555555555,6,40.35,5,3,3,11,Regular buyers
26,101779631,200,54,70,65,11,41.449999999999996,2019-10-04 14:21:45+00:00,2020-02-29 04:57:58+00:00,1,0,0.055,0.7930671296296297,11,41.449999999999996,5,4,3,12,Regular buyers
31,102771868,81,27,35,13,6,69.53,2019-10-16 10:38:04+00:00,2020-02-28 08:24:39+00:00,1,0,0.07407407407407407,1.649537037037037,6,69.53,5,3,4,12,Regular buyers
34,10280338,551,133,212,120,86,177.83,2019-10-21 06:28:05+00:00,2020-02-24 20:37:58+00:00,1,0,0.1560798548094374,5.140289351851852,86,177.83,5,5,5,15,Champions
39,103156342,62,4,27,19,12,71.43,2019-11-22 20:49:27+00:00,2020-01-11 09:37:38+00:00,1,0,0.1935483870967742,49.59885416666667,12,71.43,3,4,4,11,Regular buyers
40,103274988,71,20,25,5,21,96.97,2019-11-03 16:43:55+00:00,2020-02-01 17:50:04+00:00,1,0,0.29577464788732394,28.256886574074073,21,96.97,4,5,5,14,Champions
41,103540490,64,19,17,25,3,34.13,2019-10-27 21:27:28+00:00,2019-11-16 20:47:10+00:00,1,0,0.046875,105.13390046296297,3,34.13,1,2,3,6,Inactive buyers
42,103566871,302,146,92,44,20,81.84,2019-10-07 13:53:36+00:00,2019-12-10 16:55:28+00:00,1,0,0.06622516556291391,81.29480324074073,20,81.84,2,5,5,12,At-risk loyal buyers
50,104368191,78,59,9,6,4,22.07,2019-10-10 09:38:54+00:00,2019-12-22 19:42:32+00:00,1,0,0.05128205128205128,69.17878472222222,4,22.07,2,2,2,6,Inactive buyers
55,104584175,15,9,2,2,2,16.75,2019-10-14 07:21:30+00:00,2019-10-14 07:36:46+00:00,1,0,0.13333333333333333,138.68278935185185,2,16.75,1,1,2,4,Inactive buyers
