brand,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,non_positive_price_events,purchase_per_view_rate,cart_per_view_rate,avg_purchase_price
(missing),8757117,3972455,2493706,1741263,549693,2560181.18,104267,0.13837614271275572,0.6277493388848961,4.657474590362257
runail,1528908,608857,491818,316825,111408,343433.19,7,0.18297892608609245,0.8077725968495065,3.0826618375700128
grattol,852591,426257,217364,159428,49542,266295.94,0,0.11622565729125856,0.5099364937115403,5.375155221831981
irisk,1033852,409737,333316,216993,73806,223903.38,0,0.1801301810673676,0.813487676241101,3.033674498008292
uno,250377,121177,67375,44239,17586,190719.46,0,0.1451265504179836,0.5560048524059846,10.844959626976003
strong,60713,50925,5451,3487,850,151941.8,0,0.016691212567501227,0.10703976435935199,178.7550588235294
masura,861763,342247,247038,222727,49751,139764.86,3,0.14536577384169913,0.7218120246488647,2.8092874515085122
jessnail,252996,172238,43233,27864,9661,134775.04,0,0.056090990373785114,0.25100732707068124,13.950423351619916
ingarden,430958,175637,124240,103670,27411,124606.04,2,0.1560662047290719,0.7073680374864066,4.545840720878479
estel,360912,206045,86678,48751,19438,121788.76,0,0.09433861535101555,0.42067509524618407,6.265498508076963
cnd,177662,107510,37978,24488,7686,106327.8,0,0.07149102409078226,0.35325086038508047,13.833957845433256
italwax,225667,110888,65230,32444,17105,104057.29,0,0.15425474352499818,0.5882512084265205,6.083442852966968
browxenna,62475,37884,13422,7938,3231,63280.94,0,0.08528666455495723,0.3542920494140006,19.58555865057258
kapous,324394,196912,72096,39051,16335,62828.44,0,0.08295583814089542,0.366133094986593,3.846246709519437
beautix,99456,47460,26468,20807,4721,56999.72,0,0.0994732406236831,0.5576906868942267,12.073653886888371
lovely,107856,50204,31411,19231,7010,54505.07,0,0.13963030834196477,0.6256672775077683,7.775330955777461
concept,201312,125202,42893,23687,9530,53656.99,0,0.07611699493618312,0.3425903739556876,5.630324239244491
cosmoprofi,126462,63828,30925,24736,6973,53542.73,0,0.10924672557498277,0.4845052328131854,7.678578803958125
max,34233,26517,3997,2827,892,51791.24,0,0.03363879775238526,0.15073349172229136,58.061928251121074
domix,158344,69756,47257,28373,12958,49907.84,0,0.18576179826824932,0.6774614370090029,3.851507948757524
staleks,112076,63563,25807,16895,5811,49776.47,0,0.09142110976511493,0.4060066390824851,8.565904319394253
bluesky,201175,87575,57112,44979,11509,48173.97,1,0.1314187838995147,0.6521495860690837,4.185765053436441
marathon,33735,29680,2200,1504,351,47677.35,0,0.011826145552560646,0.07412398921832884,135.83290598290597
yoko,99291,50899,26352,15412,6628,46449.66,0,0.13021866834318946,0.517731193147213,7.008095956547979
haruyama,192224,76760,55183,48699,11582,45241.78,0,0.15088587806149037,0.7189030745179781,3.906214816093939
bpw.style,434813,168656,132954,95260,37943,44636.28,0,0.22497272554786074,0.7883146760269424,1.1764035526974672
oniq,116305,64550,26562,20436,4757,41813.32,0,0.07369481022463206,0.41149496514329975,8.789850746268657
pole,199154,81435,57508,48633,11578,41407.26,0,0.14217474059065513,0.7061828452139743,3.5763741578856454
polarus,34990,26333,4574,3212,871,41028.13,0,0.03307636805529184,0.1736984012455854,47.10462686567164
lianail,133388,58618,35403,32725,6642,40265.14,0,0.11330990480739704,0.6039612405745676,6.062201144233664
zinger,124598,59776,35724,20076,9022,37980.21,7,0.1509301391862955,0.5976311563169164,4.20973287519397
f.o.x,111657,50269,30292,25804,5292,33902.79,0,0.10527362788199487,0.6025980226382065,6.406422902494331
kinetics,57334,29704,14672,9752,3206,29297.85,0,0.1079315917048209,0.4939402100727175,9.138443543356207
pnb,92803,47085,23706,17379,4633,27694.38,0,0.09839651693745353,0.5034724434533291,5.97763436218433
metzger,76394,44468,17484,10180,4262,27661.33,0,0.0958442025726365,0.3931816137447153,6.490222900046927
severina,76698,26333,26733,14459,9173,26272.81,0,0.3483461815972354,1.015190065697034,2.864145862858389
sunuv,27086,22363,2466,1728,529,25557.7,0,0.023655144658587847,0.11027143048785941,48.31323251417769
nagaraku,108617,37459,44856,18387,7915,24907.51,0,0.2112976854694466,1.1974692330281107,3.146874289324068
freedecor,237023,95712,70450,53394,17467,22714.03,0,0.18249540287529253,0.7360623537278502,1.3003967481536611
milv,166970,66269,50832,37178,12691,22474.08,1,0.19150734129079963,0.7670554859738339,1.7708675439287687
smart,42253,15726,14479,8229,3819,22327.37,0,0.24284624189240747,0.9207045656873967,5.846391725582613
airnails,82224,27354,27725,19641,7504,21761.74,0,0.27432916575272354,1.013562915844118,2.9000186567164183
thuya,17599,11394,3465,1930,810,21720.66,0,0.07109004739336493,0.3041074249605055,26.81562962962963
emil,24451,19177,3100,1452,722,21521.89,0,0.03764926735151484,0.16165197893309693,29.80871191135734
uskusi,100778,39818,29160,26092,5708,21040.17,0,0.14335225275001257,0.7323321111055302,3.6860844428871755
kaaral,44428,26932,10212,5169,2115,20027.39,0,0.07853111540175256,0.3791771869894549,9.46921513002364
roubloff,72114,35793,18083,13594,4644,18809.73,0,0.1297460397284385,0.505210516022686,4.050329457364341
shik,48556,34857,8001,4203,1495,17963.39,0,0.042889520039016554,0.22953782597469663,12.015645484949832
matrix,26129,15601,5763,3628,1137,17157.24,0,0.0728799435933594,0.3693993974745209,15.089920844327178
jas,27025,20981,3327,1804,913,16359.98,0,0.04351556169867976,0.15857204137076403,17.918926615553122
