category_key,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,non_positive_price_events,purchase_per_view_rate,cart_per_view_rate,avg_purchase_price
category_id:1487580005092295511,770985,394684,190623,140808,44870,418363.33,1808,0.11368588541719452,0.4829762544212585,9.323898595943838
category_id:1487580006300255120,315333,275511,21959,14053,3810,351672.31,346,0.013828848938880844,0.0797028067844841,92.3024435695538
category_id:1487580005268456287,448775,221225,115327,81773,30450,265312.54,1278,0.13764267148830375,0.5213108825856029,8.713055500821017
category_id:1602943681873052386,640908,326434,161665,116593,36216,186388.51,1055,0.11094432565235239,0.49524559328991463,5.146579136293351
category_id:1487580006317032337,646704,221884,226622,147643,50555,179969.53,3265,0.22784427899262677,1.021353500027041,3.559875976659084
category_id:1487580008246412266,375219,232184,78973,47491,16571,139934.73,1643,0.07137012024945733,0.34013110291837506,8.444555548850403
appliances.environment.vacuum,149168,113752,19189,12227,4000,138623.97,315,0.035164216892889795,0.16869153948941557,34.6559925
category_id:1487580013950664926,288450,233004,29398,20151,5897,135893.36,1282,0.025308578393503974,0.12616950781960826,23.044490418857045
category_id:1487580005595612013,789465,307046,231674,206411,44334,134047.48,2489,0.1443887886505605,0.7545253805618702,3.023581901024045
category_id:1487580009051717646,145900,114437,16362,11964,3137,114698.0,607,0.02741246275243147,0.14297823256464257,36.56295824035703
category_id:1487580005671109489,680648,231046,211642,194508,43452,108903.93,3354,0.188066445642859,0.9160167239424184,2.506304197735432
category_id:1487580007675986893,1062716,423850,319562,239167,80137,102743.07,17011,0.18906924619558807,0.7539506901026306,1.2820927910952495
category_id:1487580005754995573,369213,143691,102761,102312,20449,94976.54,1643,0.14231232297081933,0.7151526539588422,4.644556702039219
category_id:1487580005553668971,149495,70005,42086,27946,9458,93743.77,461,0.13510463538318693,0.6011856295978859,9.911584901670544
category_id:1487580004916134735,245287,89701,74708,65766,15112,80341.84,1438,0.16847080857515523,0.83285582100534,5.316426680783483
category_id:1487580005713052531,264521,105525,76024,68856,14116,77462.9,1225,0.13376924899312959,0.7204359156597963,5.487595636157551
category_id:1487580005411062629,108440,64628,23339,16277,4196,70997.9,615,0.0649254193228941,0.3611283035216934,16.920376549094374
category_id:1487580008263189483,168430,104511,35832,20482,7605,70523.41,643,0.07276745988460545,0.3428538622728708,9.27329520052597
category_id:1487580005511725929,257267,108127,71094,63940,14106,70111.22,1649,0.13045770251648525,0.6575046010709629,4.97031192400397
category_id:1487580005134238553,397167,135747,120407,115311,25702,68459.2,2713,0.18933751758786566,0.8869956610459163,2.6635748190802273
category_id:1783999063314661546,130655,64658,32776,25554,7667,65047.21,435,0.11857774753317454,0.5069132976584491,8.4840498239207
category_id:1487580013841613016,398007,257436,84120,41533,14918,62194.62,249,0.0579483832874967,0.3267608259917028,4.169099074943022
category_id:1487580013069861041,91514,52765,21485,12075,5189,61369.0,45,0.09834170378091538,0.4071827916232351,11.826748891886684
category_id:1487580013581566154,116225,52622,34134,19553,9916,56316.98,134,0.18843829576983012,0.6486640568583483,5.679405002016942
category_id:1783999067156644376,91273,42060,26820,15840,6553,55371.37,467,0.15580123632905374,0.637660485021398,8.449774149244622
category_id:2151191071378375538,83536,38126,25423,13722,6265,50669.03,44,0.16432355872632848,0.6668152966479568,8.08763447725459
category_id:1487580013522845895,169917,71315,59460,28477,10665,50444.88,243,0.14954778097174506,0.8337656874430345,4.729946554149086
category_id:1487580010100293687,198956,62566,74496,43039,18855,49417.2,821,0.30136176197934983,1.1906786433526195,2.62090692124105
category_id:1487580007852147670,107657,56344,28692,16251,6370,48680.76,203,0.11305551611529178,0.5092290217236973,7.6421915227629515
category_id:1487580008145748965,277540,123233,80935,53365,20007,46294.69,889,0.16235099364618244,0.6567640161320426,2.313924626380767
category_id:1783999072332415142,87993,56071,17324,10906,3692,45437.8,847,0.06584508926182875,0.30896541884396567,12.30709642470206
category_id:1487580011585077370,200444,68220,73347,43650,15227,45107.8,2950,0.22320433890354735,1.0751539138082673,2.96235634071058
category_id:1487580005427839846,249326,74486,83977,74196,16667,43983.25,1196,0.22376016969631876,1.1274199178369089,2.638942221155577
category_id:1487580007910867929,124662,77206,25095,16531,5830,43849.67,161,0.07551226588607103,0.3250395047017071,7.52138421955403
category_id:1487580012902088873,66848,47600,10375,6211,2662,43314.62,109,0.05592436974789916,0.21796218487394958,16.27145755071375
category_id:1487580009387261981,105448,45334,30639,19644,9831,42283.26,261,0.2168571050425729,0.6758503551418361,4.3010131217577054
category_id:1487580007281722301,81487,28712,26976,16307,9492,41605.0,219,0.33059348007801614,0.9395374756199498,4.383164770332912
category_id:1487580007256556476,116130,43987,39851,22346,9946,41068.25,356,0.22611226044058472,0.9059722190647237,4.129122260205108
category_id:1487580005050352469,177776,69322,51905,46037,10512,40862.47,1208,0.15164017195118432,0.7487521998788264,3.887221270928463
category_id:1783999068909863670,78966,29245,26370,16104,7247,40750.62,641,0.24780304325525732,0.9016925970251325,5.623101973230303
furniture.living_room.cabinet,30560,26246,2267,1754,293,40746.98,30,0.011163605882801188,0.08637506667682694,139.06819112627988
category_id:1487580009445982239,282478,98833,109035,50468,24142,39901.74,1023,0.24427063834953913,1.10322463144901,1.6527934719575843
category_id:1783999064136745198,92115,51342,20317,15528,4928,39239.64,141,0.0959837949437108,0.395718904600522,7.9625892857142855
category_id:1487580012096782476,120205,49327,38587,23268,9023,39025.05,572,0.1829221318953109,0.7822693453889351,4.325063726033471
category_id:1487580005461394279,146684,61894,41970,34391,8429,36334.55,765,0.13618444437263708,0.6780948072511067,4.31065962747657
category_id:1487580010645553231,84370,62365,11361,8164,2480,34834.5,50,0.0397658943317566,0.1821694860899543,14.04616935483871
category_id:1487580007952810971,56394,30481,13767,8633,3513,34742.15,167,0.11525212427413799,0.4516584101571471,9.889595787076573
apparel.glove,52575,20736,16154,10708,4977,34340.6,401,0.2400173611111111,0.7790316358024691,6.89985935302391
