week,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,non_positive_price_events,purchase_per_view_rate,cart_per_view_rate,avg_purchase_price
2019-W39,690284,297725,234333,118283,39943,197740.05,859,0.13416071878411284,0.7870786799899235,4.9505557920036045
2019-W40,1020674,449886,332236,183373,55179,277383.65,1268,0.12265107160480655,0.7384893061797878,5.026978560684319
2019-W41,873329,408173,242824,166625,55707,274451.14,1661,0.13647889497835478,0.5949046115250152,4.926690362072989
2019-W42,875226,404624,244077,172362,54163,266269.08,1352,0.13386007750405315,0.6032192850646526,4.91606964163728
2019-W43,875444,406993,244960,167676,55815,266428.27,1400,0.1371399508099648,0.6018776735717813,4.773417002597868
2019-W44,1033141,463191,288136,209807,72007,351920.87,1628,0.15545854733792322,0.6220673545038655,4.887314705514742
2019-W45,898302,418972,252670,173392,53268,271341.58,1242,0.12713976112962203,0.6030713269621837,5.093894645941278
2019-W46,1248515,542286,363484,252713,90032,424202.87,3244,0.1660230948245022,0.6702809956369886,4.71168995468278
2019-W47,1223205,546446,341472,243360,91927,412817.82,5074,0.16822705262734103,0.6248961471032819,4.490713500930086
2019-W48,895373,425662,242361,173274,54076,257747.65,3477,0.12703976394416228,0.5693742922788504,4.766396368074561
2019-W49,940618,448634,248369,185312,58303,284314.01,1471,0.12995671304448614,0.553611629970087,4.876490232063531
2019-W50,834847,413287,215733,154285,51542,270365.15,1370,0.12471236695081142,0.5219931911722362,5.2455308292266505
2019-W51,694134,348666,179863,123602,42003,222675.67,1065,0.1204677255597047,0.5158604509760056,5.301422993595696
2019-W52,168314,92082,40798,28182,7252,42522.37,224,0.07875589148802155,0.4430616189917682,5.86353695532267
2020-W00,417607,200922,111475,84433,20777,107186.3,190,0.10340828779327302,0.5548172922825774,5.158892044087212
2020-W01,891874,435793,238605,163896,53580,274343.15,953,0.12294828049096704,0.5475191203162969,5.120252892870474
2020-W02,1033100,490521,278839,200361,63379,308112.91,1102,0.1292075160900349,0.5684547654432736,4.861435333470077
2020-W03,975782,468655,262565,184882,59680,298189.82,2030,0.12734314154335277,0.560252211114786,4.996478217158177
2020-W04,1092659,510241,298716,209886,73816,370558.81,13330,0.1446688917589923,0.5854409974894217,5.020033732524114
2020-W05,1064427,495803,299640,207526,61458,304545.02,31906,0.12395649078363785,0.6043529385663258,4.955335676396889
2020-W06,1009803,473613,277609,199885,58696,289932.75,15585,0.12393240894992325,0.5861515625626831,4.939565728499387
2020-W07,942771,448873,256639,181065,56194,285320.06,5180,0.12518908466314527,0.5717407819138153,5.07741146741645
2020-W08,993411,466773,272929,195499,58210,289635.87,8677,0.12470729883690787,0.5847146257388495,4.975706407833705
